nodes	ancestor	time	species	diet	habitat	HI	dummy	habitat_diet	geography	body_size	body_size_log
88	15	1	Pudu_puda	Br	CH	1.62	0	BrCH	SAm	9	0.954242509
89	12	1	Pudu_mephistophiles	Br	CH	1.61	0	BrCH	SAm	7	0.84509804
90	13	1	Ozotoceros_bezoarcticus	MF	OH	2.12	0	MFOH	SAm	37	1.568201724
91	11	1	Odocoileus_virginianus_3	Br	MH	1.23	0	BrMH	SAm	52	1.716003344
92	11	1	Odocoileus_hemionus	Br	MH	1.59	0	BrMH	NCAm	74	1.86923172
93	3	1	Muntiacus_muntjak_NC004563	MF	CH	1.81	0	MFCH	CSAs	25	1.397940009
94	18	1	Hydropotes_inermis	MF	OH	1.84	0	MFOH	CSAs	11	1.041392685
95	13	1	Hippocamelus_antisensis	MF	CH	1.94	0	MFCH	SAm	60	1.77815125
96	5	1	Elaphurus_davidianus	MF	MH	2.35	0	MFMH	CSAs	175	2.243038049
97	3	1	Elaphodus_cephalophus_N008749	MF	CH	1.69	0	MFCH	CSAs	18	1.255272505
98	6	1	Dama_dama_dama	MF	MH	2.01	0	MFMH	EAs	55	1.740362689
99	4	1	Cervus_nippon_centralis_NC006993	MF	MH	2.79	0	MFMH	CSAs	53	1.72427587
100	4	1	Cervus_elaphus_NC007704	MF	MH	2.11	0	MFMH	EAs	153	2.184691431
101	18	1	Capreolus_capreolus	Br	CH	1.49	0	BrCH	EAs	30	1.477121255
102	14	1	Blastocerus_dichotomus	MF	OH	1.49	0	MFOH	SAm	130	2.113943352
103	7	1	Axis_porcinus	MF	MH	2.53	0	MFMH	CSAs	42	1.62324929
104	7	1	Axis_axis	MF	OH	2.81	0	MFOH	CSAs	64.7	1.810904281
105	19	1	Alces_alces	Br	CH	1.34	0	BrCH	EAs	384	2.584331224
106	25	1	Tragelaphus_strepsiceros	Br	MH	2.29	0	BrMH	Africa	215	2.33243846
107	23	1	Tragelaphus_spekii	MF	MH	2.9	0	MFMH	Africa	74	1.86923172
108	24	1	Tragelaphus_scriptus_3	Br	MH	2.54	0	BrMH	Africa	58	1.763427994
109	28	1	Tragelaphus_imberbis	MF	MH	2.18	0	MFMH	Africa	77	1.886490725
110	23	1	Tragelaphus_eurycerus	MF	CH	1.92	0	MFCH	Africa	205	2.311753861
111	27	1	Tragelaphus_angasii	Br	MH	2.52	0	BrMH	Africa	91	1.959041392
112	22	1	Tetracerus_quadricornis	MF	MH	3.77	0	MFMH	CSAs	17	1.230448921
113	25	1	Tragelaphus_oryx	MF	MH	2.91	0	MFMH	Africa	511	2.7084209
114	30	1	Syncerus_caffer	Gr	MH	3.82	0	GrMH	Africa	620	2.792391689
115	55	1	Sylvicapra_grimmia	Br	MH	2.97	0	BrMH	Africa	13	1.113943352
116	48	1	Saiga_tatarica	MF	OH	5.29	0	MFOH	EAs	45	1.653212514
117	63	1	Rupicapra_rupicapra_FJ207538	MF	OH	4.19	0	MFOH	EAs	39	1.591064607
118	38	1	Redunca_fulvorufula	Gr	OH	3.79	0	GrOH	Africa	31	1.491361694
119	38	1	Redunca_arundinum	Gr	MH	3.59	0	GrMH	Africa	62	1.792391689
120	43	1	Rahicerus_campestris	MF	OH	3.44	0	MFOH	Africa	13.5	1.130333768
121	59	1	Pseudois_nayaur_FJ207537	MF	OH	5.3	0	MFOH	CSAs	59	1.770852012
122	51	1	Procapra_gutturosa	MF	OH	3.9	0	MFOH	CSAs	18	1.255272505
123	56	1	Philantomba_monticola_1	Br	CH	1.9	0	BrCH	Africa	5.5	0.740362689
124	41	1	Pelea_capreolus	Br	OH	4.56	0	BrOH	Africa	32	1.505149978
125	65	1	Pantholops_hodgsonii_NC007441	MF	OH	4.56	0	MFOH	CSAs	50	1.698970004
126	64	1	Ovibos_moschatus_FJ207536	MF	OH	3.69	0	MFOH	NCAm	364	2.561101384
127	49	1	Ourebia_ourebi	MF	OH	3.8	0	MFOH	Africa	18	1.255272505
128	70	1	Oryx_gazella	MF	OH	3.37	0	MFOH	Africa	170	2.230448921
129	57	1	Oreotragus_oreotragus	MF	OH	3.82	0	MFOH	Africa	13.5	1.130333768
130	61	1	Oreamnos_americanus_FJ207535	MF	OH	4.95	0	MFOH	NCAm	97	1.986771734
131	37	1	Nesotragus_moschatus	Br	MH	3.51	0	BrMH	Africa	4.5	0.653212514
132	44	1	Nanger_granti	MF	OH	3.45	0	MFOH	Africa	62	1.792391689
